"cas","count","name","category","weight_orig","weight_deriv"
"018297-63-7","19","Urea","Other","60.056","204.42"
"017165-52-5","5","Ethanolamine","Other","61.08","205.44"
"005630-82-0","23","Glycine","Amino Acids","75.07","291.61"
"007364-42-3","11","Glycine","Amino Acids","75.07","219.43"
"033581-77-0","12","Glycolic Acid","Organic Acids","76.05","220.41"
"027844-07-1","20","Alanine","Amino Acids","89.09","233.45"
"055255-77-1","12","Alanine","Amino Acids","89.09","305.64"
"017596-96-2","24","Lactic Acid","Organic Acids","90.08","234.44"
"006787-10-6","17","Glycerol","Lipids","92.09","308.64"
"010497-05-9","26","Phosphate","Other","94.971","314.54"
"064625-17-8","12","Serine","Amino Acids","105.09","321.63"
"070125-39-2","3","Serine","Amino Acids","105.09","249.45"
"038191-87-6","6","Glyceric Acid","Organic Acids","106.08","322.62"
"018291-81-1","7","Methylphosphate","Other","112.02","256.38"
"010457-14-4","18","Uracil","Nucleic Acids","112.09","256.45"
"007364-47-8","15","Proline","Amino Acids","115.13","259.49"
"998348-79-6","1","Proline","Amino Acids","115.13","259.49"
"017962-03-7","3","Fumaric Acid","Organic Acids","116.07","260.43"
"007364-44-5","18","Valine","Amino Acids","117.15","261.51"
"007480-78-6","2","Valine","Amino Acids","117.15","189.33"
"040309-57-7","22","Succinic Acid","Organic Acids","118.09","262.45"
"007537-02-2","15","Threonine","Amino Acids","119.12","335.66"
"007536-82-5","3","Threonine","Amino Acids","119.12","263.48"
"064569-35-3","1","Threonine","Amino Acids","119.12","335.66"
"1000153-02-1","11","Cysteine","Amino Acids","121.16","337.7"
"007364-50-3","3","Cysteine","Amino Acids","121.16","337.7"
"002078-12-8","3","Benzoic Acid","Organic Acids","122.12","194.3"
"018547-29-0","22","Sugar Alcohol (C4)","Carbohydrates","122.12","410.8"
"1000380-15-5","3","Sugar Alcohol (C4)","Carbohydrates","122.12","410.8"
"032381-52-5","2","Sugar Alcohol (C4)","Carbohydrates","122.12","410.8"
