"Ret.Time","Area","CAS","Compound","Quality"
8.12,1537833254,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
8.644,1260790,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.142,3433088,"007480-78-6","L-Valine, trimethylsilyl ester","80"
9.477,28417851,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
10.16,1785210,"017165-52-5","1-Trimethylsiloxy-2-trimethylsilylaminoethane","91"
11.256,8806577,"000141-63-9","Pentasiloxane, dodecamethyl-","93"
11.753,1601258,"998347-92-8","[1]Benzofuro[3,2-g]pyrrolo[1,2-a]quinoxaline","72"
12.861,1337595,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","90"
13.129,3128770,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","86"
13.454,1793675,"082612-84-8","12-methoxy-19-norpodocarpa-3,5,8,11,13-pentaen-7-one","80"
14.542,1788738,"070125-39-2","Serine, bis(trimethylsilyl)-","91"
14.736,87644563,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","93"
14.883,4787647,"007364-46-7","L-Leucine, N-(trimethylsilyl)-, trimethylsilyl ester","83"
14.992,59560773,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.064,785215860,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.526,7247656,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","86"
15.662,15065641,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","94"
15.86,51313883,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","90"
16.123,8466272,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","97"
16.459,1043776,"055557-26-1","Butanedioic acid, methyl-, bis(trimethylsilyl) ester","86"
17.096,1297794,"1000352-49-1","4,6-Dihydroxypyrimidine, bis(trimethylsilyl) ether","93"
17.256,1017596,"017962-03-7","2-Butenedioic acid (E)-, bis(trimethylsilyl) ester","83"
18.159,52435869,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","93"
19.257,4830497,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","94"
20.887,4399421,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","99"
21.299,21296732,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","94"
21.509,1116816,"1000374-74-5","Niacinamide, N-trimethylsilyl-","70"
21.699,6526474,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","96"
21.908,142254812,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.151,5760476,"069097-20-7","Tris(trimethylsiloxy)ethylene","81"
22.614,7058121,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","90"
22.844,61438622,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.902,3676312,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","94"
24.114,16515525,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","98"
24.41,4914487,"007364-51-4","N,O-Bis(trimethylsilyl)-L-phenylalanine","86"
25.06,897334,"055520-95-1","Dodecanoic acid, trimethylsilyl ester","91"
