"Ret.Time","Area","CAS","Compound","Quality"
7.693,62751144,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.719,973850,"127130-04-5","N-Methyl-2-(2-furyl)pyrido[2,3-b][1,5]thiazepin-4(5H)-one","80"
10.567,4859078,"000000-00-0","N,O,O-tri(trimethylsilyl)-1-c(13)-N-carboxy-glycine","90"
14.912,26251267,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","94"
14.98,38420402,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","97"
15.791,1425216,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","74"
16.07,402866,"053326-60-6","3,8-Dioxa-2,9-disiladec-5-yne, 2,2,9,9-tetramethyl-","72"
17.055,279454,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","93"
21.291,681138,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","86"
21.891,3119735,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","87"
22.137,586715,"022675-43-0","2-CHLORO-1,3,6-TRIHYDROXY-8-METHYL-9H-XANTHEN-9-ONE","72"
22.839,785291,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","74"
24.133,401780,"000084-66-2","Diethyl Phthalate","90"
29.369,5138902,"120788-24-1","Fructose oxime, hexakis(trimehylsilyl)","91"
29.601,3520519,"1000380-38-8","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 1)","91"
29.88,6264616,"128705-73-7","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.257,819701,"128705-64-6","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1E)-","90"
30.533,1753827,"014199-80-5","Trimethylsilyl ether of glucitol","91"
32.451,332603,"014251-18-4","Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-, scyllo-","86"
33.356,2694096,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.61,13163721,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
36.507,2283859,"1000333-60-2","11-cis-Octadecenoic acid, trimethylsilyl ester","99"
36.631,1302426,"021556-26-3","Oleic acid, trimethylsilyl ester","90"
36.991,2638921,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.599,1889250,"000103-23-1","Hexanedioic acid, bis(2-ethylhexyl) ester","98"
51.123,4713199,"001856-05-9","Cholesterol trimethylsilyl ether","97"
