"Ret.Time","Area","CAS","Compound","Quality"
7.723,276491555,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.216,6750238,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
9.929,1393287,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","87"
11.085,3606589,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
13.002,1210323,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
14.537,12598564,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","96"
14.76,157933451,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
14.903,9226474,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.445,1655086,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","91"
15.581,2767391,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","74"
15.784,4503065,"005630-81-9","Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-","72"
16.055,1447053,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","95"
17.036,608526,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","93"
17.213,147836,"998308-35-5","7-(Trifluoromethyl)-1-methyl-1,2,3,4-tetrahydro-pyrido[2,3-d]pyrimidine-2,4-dion","72"
18.09,1633333,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
18.842,241017,"007288-28-0","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-","70"
20.862,1381928,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","98"
21.282,5169108,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.667,2061401,"015985-05-4","N,O,O'-tris-(trimethylsilyl)aspartic acid","95"
21.853,31637755,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.129,2523741,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","91"
22.819,12515336,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","97"
24.088,5994235,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","92"
25.316,423678,"1000380-18-6","D-(-)-Lyxose, tetrakis(trimethylsilyl) ether, methyloxime (syn)","96"
26.131,567475,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","93"
28.494,7115876,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
29.362,36707723,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","91"
29.593,25090571,"1000380-17-6","D-Psicose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.875,77353489,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.247,12994908,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.373,1487266,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
30.527,9017574,"014199-80-5","Trimethylsilyl ether of glucitol","91"
31.709,236195,"1000336-51-7","Hexadecane-1,2-diol , bis(trimethylsilyl) ether","72"
33.337,13287474,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.605,28449084,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","91"
36.492,6414423,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.613,2617095,"021556-26-3","Oleic acid, trimethylsilyl ester","96"
36.974,10851332,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
37.715,195866,"998656-57-6","Nonahydro-8-[spiro-3'-indolin-2'-one]-2-phenyl-1-methylpyrrolo[3,4-a]pyrrolizine","83"
37.926,218106,"018919-94-3","Tetracosamethyl-cyclododecasiloxan","76"
39.577,1478735,"000103-23-1","Hexanedioic acid, bis(2-ethylhexyl) ester","91"
51.113,48950815,"001856-05-9","Cholesterol trimethylsilyl ether","99"
