"Ret.Time","Area","CAS","Compound","Quality"
6.337,14646611,"003156-41-0","p,.beta.-Dinitrostyrene $$ Benzene, 1-nitro-4-(2-nitroethenyl)-","70"
7.188,27138049,"998308-29-7","Silylation Artifact from Dimethylsulfoxide and BSTFA","72"
7.83,2447853,"998512-78-8","5,7-Diaza-6,13-dithiapentacene [1,4-dithiino[2,3-b;6,5-b']diquinoline]","83"
8.602,3009646429,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.026,5364095,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","90"
9.803,112856328,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
10.285,538638650,"085225-99-6","1-tert-Butyl-3-(tert-butylamino)-2,2,4,4-tetramethyl-1,3-diaza-2,4-disilacyclobu","83"
10.431,2166292,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","80"
10.541,1516291,"055133-92-1","Propanoic acid, 2-methyl-2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","74"
11.216,340292,"041571-88-4","Pyridine, 3-trimethylsiloxy-","87"
11.473,4951956,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
12.972,4144543,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","91"
13.236,24569868,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","98"
13.405,9985621,"1000332-23-4","2-Ketoisocaproic acid mo-tms","76"
14.333,1925436,"998423-59-2","N,N-Dimethyl-N-phenylethyl-4-ammonio-1-butanesulfonate","83"
14.6,4078668,"002078-12-8","Benzoic acid trimethylsilyl ester","91"
14.909,2145704805,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","90"
15.039,125102101,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.437,1941397,"015984-97-1","N,O-Bis-(trimethylsilyl)leucine","72"
15.56,46126978,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.698,47187232,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","94"
15.891,77639960,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.13,23772034,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.071,3482171,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","90"
17.233,5072508,"077220-12-3","Methylmaleic acid, bis(trimethylsilyl) ester","72"
17.418,14737530,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.579,5028204,"082326-11-2","Nonanoic acid, trimethylsilyl este","95"
18.001,9011270,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","95"
18.11,24613222,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
18.268,886179,"088289-42-3","Bis(trimethylsilyl) derivative of3-deazauracil","72"
19.217,7873684,"1000333-28-8","l-Aspartic acid, bis(trimethylsilyl) ester","89"
20.563,12883316,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","91"
20.847,11145462,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","99"
21.084,1474858,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","76"
21.272,77459586,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","91"
21.662,25174122,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","98"
21.843,317669593,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","97"
22.117,19555469,"1000352-53-3","L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester","76"
22.574,27310725,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","76"
22.803,187454124,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.072,3011436,"114058-22-9","1-Dodecanol, tert-butyldimethylsilyl ether","78"
23.19,4631455,"060022-87-9","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester","94"
23.926,30089171,"000084-66-2","Diethyl Phthalate","93"
24.072,89816756,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
