"Ret.Time","Area","CAS","Compound","Quality"
7.829,681336617,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.287,25893738,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
9.993,731033,"017165-52-5","1-Trimethylsiloxy-2-trimethylsilylaminoethane","90"
10.116,168516,"055133-93-2","Butanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","72"
10.627,126230340,"000000-00-0","N,O,O-tri(trimethylsilyl)-1-c(13)-N-carboxy-glycine","90"
11.128,3396000,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
11.245,324721,"055133-95-4","Butanoic acid, 4-[(trimethylsilyl)oxy]-, trimethylsilyl ester","78"
12.098,1676560,"018291-81-1","Phosphoric acid, bis(trimethylsilyl)monomethyl ester","90"
13.038,3474341,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
13.237,2010109,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","76"
14.193,199360,"000248-85-1","Benzo[b]phenanthro[2,3-d]thiophene$$ Dibenzo[b,i]thiophanthrene","83"
14.615,30058107,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","96"
14.815,4979139,"007364-46-7","L-Leucine, N-(trimethylsilyl)-, trimethylsilyl ester","90"
14.922,318681966,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
15.471,6248390,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","74"
15.609,11933171,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","91"
15.806,19529146,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.078,3334603,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","96"
17.06,704454,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","97"
18.101,10199151,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","78"
19.233,1162938,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","91"
19.842,353450,"074614-99-6","Methyl 6-(chloromethyl)-4-(3,4-dimethoxy-2-(phenylmethoxy)-phenyl)-3-methyl-2-py","83"
20.872,2285068,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","98"
21.288,11153291,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","93"
21.68,3347296,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","93"
21.876,58912128,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.138,5282115,"069097-20-7","Tris(trimethylsiloxy)ethylene","81"
