"Ret.Time","Area","CAS","Compound","Quality"
7.099,893968,"000108-75-8","Pyridine, 2,4,6-trimethyl-","90"
7.71,1104294,"998512-78-8","5,7-Diaza-6,13-dithiapentacene [1,4-dithiino[2,3-b;6,5-b']diquinoline]","83"
8.178,717183,"003120-85-2","Thiazolo[5,4-f]quinoline, 2,9-dimethyl-","72"
8.488,2463466192,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
8.938,2273582,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","83"
9.425,505108,"998117-20-7","anti-(2RS,3SR)-3-Hydroxy-4,4-dimethyl-2-propylthiaolane","72"
9.736,191823741,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","90"
10.011,433830,"055493-95-3","Butanoic acid, 2-(methoxyimino)-3-methyl-, trimethylsilyl ester","89"
10.202,114645800,"085225-98-5","1,4-Di-tert-butyl-3,3,5,5-tetramethyl-1,2,4-triaza-3,5-disilacyclopentane","83"
10.372,5514175,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","93"
10.485,1204518,"055124-90-8","Butanoic acid, 3-methyl-3-[(trimethylsilyl)oxy]-, trimethylsilyl ester","78"
11.43,12365626,"000141-63-9","Pentasiloxane, dodecamethyl-","95"
12.948,2733998,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","86"
13.216,29904086,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","97"
13.391,8813338,"1000332-23-4","2-Ketoisocaproic acid mo-tms","81"
13.731,138313,"085226-13-7","4-Benzylidene-2-tert-butyl-3,3,5-trimethyl-1,2-diaza-3-sila-5-cyclopentene","78"
14.541,13298598,"998252-88-1","Dibenzo[b,f][1,4]oxazepin-11(10H)-one, 8-methyl-","94"
14.798,202483806,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","94"
14.93,1442618384,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","95"
15.032,93961002,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.128,8071723,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","94"
15.559,53979051,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.698,87027338,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","91"
15.895,165337030,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.133,17315561,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
17.086,2489012,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","97"
17.252,1015846,"017962-03-7","2-Butenedioic acid (E)-, bis(trimethylsilyl) ester","72"
17.426,10573336,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.589,767419,"082326-11-2","Nonanoic acid, trimethylsilyl este","80"
18.037,45194345,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","95"
18.12,47213125,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
18.277,883132,"1000153-54-6","Pyrrole-2-carboxylic acid, N-trimethylsilyl-, trimethylsilyl ester","72"
18.354,534303,"998603-26-7","8-Methoxy-2,4,5',6-Tetramethyl-4,8-dihydro-4,8[3',2']thiopheneobenzo[1,2-b:5,4-b","83"
19.235,9632401,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","97"
20.58,20663978,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","90"
20.865,7061656,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","99"
21.096,1030303,"1000380-14-0","L-Threitol, tetrakis(trimethylsilyl) ether","90"
21.288,53717972,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","90"
21.679,19866110,"015985-05-4","N,O,O'-tris-(trimethylsilyl)aspartic acid","99"
21.862,297610322,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","95"
22.133,15516993,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","87"
22.427,947201,"122763-31-9","4,8-cis-8b,8c-cis-2,2,4,6,6,8-hexamethylperhydro-3a,4a,7a,8a-tetraazacyclopentan","72"
22.592,27617554,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
22.822,152475458,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.091,2856741,"104255-75-6","Undecanoic acid, tert-butyldimethylsilyl ester","72"
23.656,9051954,"998731-02-6","1-[[2-(5-AMINO-2H-[1,2,4]TRIAZOL-3-YL)-ACETYL]-P-TOLYL-AMINO]-CYCLOHEXANECARBOXY","83"
23.829,22101973,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","87"
24.09,55865117,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","97"
24.389,21075216,"007364-51-4","N,O-Bis(trimethylsilyl)-L-phenylalanine","91"
24.528,566922,"1000308-76-8","2-Hydroxyundecanoic acid, trimethylsilyl ether, trimethylsilyl ester","72"
25.026,1580795,"055520-95-1","Dodecanoic acid, trimethylsilyl ester","70"
25.313,2855315,"056196-08-8","d-Ribose, 2,3,4,5-tetrakis-O-(trimethylsilyl)-, O-methyloxime","95"
25.433,4619245,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","96"
25.824,726009,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","83"
26.129,5472486,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","95"
26.235,2052624,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","93"
27.097,12858181,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","99"
27.257,42839135,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","95"
28.006,567337,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","86"
28.144,1169652,"017906-08-0","Azelaic acid, bis(trimethylsilyl)ester","70"
28.415,1753792,"055556-70-2","L-Ornithine, N2,N5,N5-tris(trimethylsilyl)-, trimethylsilyl ester","95"
28.495,35453524,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","93"
