"Ret.Time","Area","CAS","Compound","Quality"
6.415,3770781,"998308-29-7","Silylation Artifact from Dimethylsulfoxide and BSTFA","95"
7.401,3910600,"065737-44-2","2-(2-Methyl-propenyl)-cyclohexanone $$ 2-(2-Methyl-1-propenyl)cyclohexanone #","70"
7.924,840030746,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
8.481,1589191,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","78"
8.791,530719,"066563-30-2","Bacchotricuneatin c","83"
9.343,32698271,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","95"
10.039,1057337,"017165-52-5","1-Trimethylsiloxy-2-trimethylsilylaminoethane","80"
10.656,209615229,"000000-00-0","N,O,O-tri(trimethylsilyl)-1-c(13)-N-carboxy-glycine","81"
11.172,3485411,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
12.515,270501,"998412-70-3","MICHELALBINE","72"
12.777,1068372,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","70"
13.049,5880477,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
14.201,409259,"998420-38-2","2-[1-(4-Nitrophenyl)ethyl]benzothiazole","74"
14.592,60688355,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","96"
14.745,413991362,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","99"
14.927,28586734,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.465,11798143,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.602,15109704,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","95"
15.803,32279710,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.064,4936312,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","97"
17.037,769162,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","80"
17.201,922645,"055044-79-6","2-Butenoic acid, 3-methyl-2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","76"
17.386,5509766,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.553,909222,"082326-11-2","Nonanoic acid, trimethylsilyl este","91"
17.978,2776645,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","92"
18.087,8640437,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","96"
19.213,1239965,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","95"
20.087,1969123,"080893-75-0","1,4,8-Trimethoxyanthracen-9-ol $$9-Anthracenol, 1,4,8-trimethoxy- (CAS)","83"
20.849,2616006,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","96"
21.271,15900431,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","91"
21.655,8596603,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","94"
21.831,89109740,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","96"
22.117,4649000,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","81"
22.572,5672718,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.796,42205412,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.08,2804770,"006221-88-1","Silane, (dodecyloxy)trimethyl-","94"
23.728,758831,"998575-20-8","2,3-Diphenyl-5,6,7,8-tetrahydro-5H-cyclohepta[d]imidazo[2,1-b]thiazole","83"
23.978,5331909,"000084-66-2","Diethyl Phthalate","98"
24.073,29590089,"015985-07-6","Glutamic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester, L-","99"
24.368,3427054,"002899-52-7","N,O-Bis-(trimethylsilyl)phenylalanine","83"
25.301,1060404,"1000380-17-7","D-Psicose, pentakis(trimethylsilyl) ether, methyloxime (anti)","91"
25.423,3531917,"055649-62-2","L-Asparagine, N,N2-bis(trimethylsilyl)-, trimethylsilyl ester","99"
26.118,1632499,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","93"
26.22,679463,"032381-53-6","Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","86"
27.091,368834,"1000333-14-1","DL-Ornithine,N',N'-bis(trimethylsilyl)-, trimethylsilyl ester","91"
27.226,2515283,"031038-11-6","Phosphoric acid, bis(trimethylsilyl) 2,3-bis[(trimethylsilyl)oxy]propyl ester","93"
28.393,10982769,"1000333-13-9","DL-Ornithine, N,N,N'-tris(trimethylsilyl)-, trimethylsilyl ester","99"
28.476,23797794,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","91"
29.35,130559425,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.581,87372867,"1000380-19-0","D-(-)-Fructose, pentakis(trimethylsilyl) ether, methyloxime (syn)","91"
29.867,281775051,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
30.234,49155847,"130405-10-6","d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-","91"
30.356,4662279,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","87"
30.512,32465963,"014199-80-5","Trimethylsilyl ether of glucitol","91"
30.608,5339872,"000000-00-0","Glucitol - hexamethylsilyl ether $$ 1,3,4-tris[(Trimethylsilyl)oxy]but-1-ene","78"
31.104,2925594,"007415-19-2","N,O,O'-Tris-(trimethylsilyl)tyrosine","87"
31.882,773043,"014251-20-8","alpha.-D-Xylopyranose, 1,2,3,4-tetrakis-O-(trimethylsilyl)-","91"
32.425,2354974,"014251-18-4","Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-, scyllo-","91"
32.728,834531,"002775-90-8","beta.-D-Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-","74"
33.319,55766414,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.592,138660080,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
34.042,176821,"998534-53-4","(R)-2-(N,N-Dibenzylamino)-3-chloro-1,1,1-trifluoropropane","83"
34.32,548188,"128705-64-6","d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme,(1E)-","83"
34.441,662141,"014317-07-8","D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","80"
35.171,576245,"998575-33-1","2,3-Dihydro-5-[4E)-3-hydroxy-4-methyl-6-(2,6,6-trimethylcyclohexenyl)-4-hexen-1-","90"
35.44,168794,"128608-94-6","2-(3-Benzyl-5-trimethylsilyl-2-furyl)-4,4-dimethyloxazoline","86"
35.626,236126,"998715-25-9","1,3-Bis(4-chlorobenzyl)-5,6-dihydrobenzo[f]quinazoline","83"
36.468,18428930,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.593,9963788,"021556-26-3","Oleic acid, trimethylsilyl ester","99"
36.953,49085100,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
37.214,1144338,"998631-24-2","Ohioensin C","72"
37.7,975949,"055530-76-2","D-Mannose, 2,3,4,5-tetrakis-O-(trimethylsilyl)-, O-methyloxime, 6-[bis(trimethylsilyl) phosphate]","90"
39.216,1684377,"055568-91-7","D-Myo-Inositol, 1,2,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate","87"
39.554,5317299,"000103-23-1","Hexanedioic acid, bis(2-ethylhexyl) ester","91"
42.686,3498965,"019159-25-2","alpha.-D-Glucopyranoside, 1,3,4,6-tetrakis-O-(trimethylsilyl)-.beta-D-fructofuranosyl 2,3,4,6-tetrakis-O-(trimethylsilyl)-","91"
43.364,812428,"1000380-10-3","D-Lactose, octakis(trimethylsilyl)ether, methyloxime (isomer 1)","87"
51.081,61446236,"001856-05-9","Cholesterol trimethylsilyl ether","99"
