"Ret.Time","Area","CAS","Compound","Quality"
7.011,23380761,"998308-29-7","Silylation Artifact from Dimethylsulfoxide and BSTFA","78"
8.462,2796777024,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
8.905,3477294,"033581-77-0","Acetic acid, [(trimethylsilyl)oxy]-, trimethylsilyl ester","90"
9.705,155792693,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","90"
9.991,422636,"055493-95-3","Butanoic acid, 2-(methoxyimino)-3-methyl-, trimethylsilyl ester","90"
10.345,4718585,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
10.457,760773,"055133-93-2","Butanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","87"
11.137,464989,"041571-88-4","Pyridine, 3-trimethylsiloxy-","80"
11.407,22426956,"000141-63-9","Pentasiloxane, dodecamethyl-","94"
12.047,6361871,"018291-81-1","Phosphoric acid, bis(trimethylsilyl)monomethyl ester","93"
12.928,3474685,"1000332-24-2","2-Keto-3-methylvaleric acid mo-tmspk2","91"
13.194,26949076,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","70"
13.366,8912735,"1000332-23-4","2-Ketoisocaproic acid mo-tms","70"
14.867,1834174375,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","95"
15.016,98684385,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","94"
15.541,50942671,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","86"
15.679,61925284,"007364-47-8","L-Proline, 1-(trimethylsilyl)-, trimethylsilyl ester","91"
15.876,106612289,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","91"
16.117,20800371,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","98"
16.441,1028309,"055557-26-1","Butanedioic acid, methyl-, bis(trimethylsilyl) ester","74"
17.064,5009004,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","96"
17.412,14902449,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","91"
17.575,2609652,"082326-11-2","Nonanoic acid, trimethylsilyl este","91"
17.989,15295389,"998460-11-4","Bicyclo[2.2.1]heptane-2-acetic acid, .alpha.-oxo-exo-3-(2-oxo-1-phenylethenyl)-,","95"
18.105,27563972,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","94"
18.832,539079,"007288-28-0","Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]- (CAS) $$ THYMINE-DITMS","87"
19.214,9315379,"055255-77-1","beta.-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester","92"
20.557,13803074,"070125-41-6","Trimethylsiloxy(trimethylsilyl)proline","91"
20.846,10173853,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","97"
21.082,1286004,"1000380-15-5","meso-Erythritol, tetrakis(trimethylsilyl) ether","90"
21.27,65165800,"018547-29-0","Butane, 1,2,3,4-tetrakis[(trimethylsilyl)oxy]-","94"
21.552,4238049,"998387-84-4","2-(Hexylthio)decanal","83"
21.661,26881708,"015985-05-4","N,O,O'-tris-(trimethylsilyl)aspartic acid","98"
21.84,315247178,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","97"
22.117,18190561,"038191-88-7","2,3,4-Trihydroxybutyric acid tetrakis(trimethylsilyl) deriv., (, (R*,R*)-)","81"
22.416,850876,"998363-65-3","3-(HYDRAZONO-PHENYL-METHYL)-1H-QUINOXALIN-2-ONE","93"
22.572,25840694,"1000153-02-1","Cytein, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","87"
22.8,174448448,"055012-82-3","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester, (E)-","99"
23.075,5623146,"006221-88-1","Silane, (dodecyloxy)trimethyl-","93"
23.188,3460800,"060022-87-9","Pentanedioic acid, 2-(methoxyimino)-, bis(trimethylsilyl) ester","95"
23.814,4363695,"1000333-25-8","L-Asparagine, N2-trimethylsilyl-,trimethylsilyl ester","72"
