"Ret.Time","Area","CAS","Compound","Quality"
7.679,195644984,"017596-96-2","Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester","91"
9.187,4557412,"027844-07-1","l-Alanine, N-(trimethylsilyl)-, trimethylsilyl ester","94"
9.895,1358993,"007364-42-3","Glycine, N-(trimethylsilyl)-, trimethylsilyl ester","87"
11.065,1881112,"000141-63-9","Pentasiloxane, dodecamethyl-","91"
11.821,2469176,"1000376-29-5","5-((tert-Butyldimethylsilyl)oxy)-2,2,6,6-tetramethylhept-4-en-3-one,Isomer 1","72"
12.981,1037736,"007364-44-5","L-Valine, N-(trimethylsilyl)-, trimethylsilyl ester","83"
14.489,8205876,"018297-63-7","Urea, N,N'-bis(trimethylsilyl)-","97"
14.7,94245796,"010497-05-9","Silanol, trimethyl-, phosphate (3:1)","98"
14.884,7117158,"006787-10-6","Glycerol, tris(trimethylsilyl) ether","91"
15.425,1627063,"007483-92-3","L-Isoleucine, N-(trimethylsilyl)-,trimethylsilyl ester","90"
15.765,9427236,"005630-82-0","Glycine, N,N-bis(trimethylsilyl)-,trimethylsilyl ester","93"
16.033,961623,"040309-57-7","Butanedioic acid, bis(trimethylsilyl) ester","83"
16.521,322175,"038191-87-6","Propanoic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester","76"
17.014,352787,"010457-14-4","Pyrimidine, 2,4-bis[(trimethylsilyl)oxy]-","78"
17.362,486211,"064625-17-8","Serine, N,O-bis(trimethylsilyl)-,trimethylsilyl ester","78"
18.072,812645,"007537-02-2","N,O,O-Tris(trimethylsilyl)-L-threonine","91"
18.765,227444,"998279-96-9","1-(Fluorodimethylsilylmethyl)-2-quinolone","72"
20.843,800165,"038166-11-9","Butanedioic acid, [(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester","90"
21.271,4176151,"032381-52-5","Threitol, 1,2,3,4-tetrakis-O-(trimethylsilyl)-, D-","70"
21.649,1139636,"055268-53-6","L-Aspartic acid, N-(trimethylsilyl)-, bis(trimethylsilyl) ester","86"
21.826,23722020,"030274-77-2","L-Proline, 5-oxo-1-(trimethylsilyl)-, trimethylsilyl ester","98"
22.111,1797249,"1000352-53-3","L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester","83"
22.794,6439431,"002078-20-8","2-Propenoic acid, 3-phenyl-, trimethylsilyl ester","93"
23.077,579958,"114058-22-9","1-Dodecanol, tert-butyldimethylsilyl ether","72"
24.068,9514917,"000084-66-2","Diethyl Phthalate","95"
25.301,752850,"1000380-18-3","D-(+)-Xylose, tetrakis(trimethylsilyl) ether, methyloxime (anti)","80"
26.115,563712,"014199-72-5","Xylitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-","90"
28.476,3296260,"014330-97-3","1,2,3-Propanetricarboxylic acid, 2-[(trimethylsilyl)oxy]-, tris(trimethylsilyl) ester","94"
29.345,21690633,"056196-14-6","D-Fructose, 1,3,4,5,6-pentakis-O-(trimethylsilyl)-, O-methyloxime","94"
29.577,19003034,"1000380-40-0","D-(-)-Lyxose, tetrakis(trimethylsilyl) ether, trimethylsilyloxime (isomer 1)","91"
29.857,53666036,"128705-67-9","d-Mannose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1Z)-","91"
29.968,1605581,"1000357-10-1","Phthalic acid, isobutyl 3-methylbut-3-enyl ester","86"
30.231,9544875,"120850-88-6","Galactose oxime hexakis(trimethylsilyl)","93"
30.511,6077557,"1000380-14-5","D-Sorbitol, hexakis(trimethylsilyl) ether","91"
31.379,445008,"998463-31-1","6.alpha.,7.alpha.Dihydro-1'H-azirino[6,7]androst-4-ene-3,17-dione","83"
32.176,197386,"1000380-20-4","D-Allofuranose, pentakis(trimethylsilyl) ether","72"
32.58,102940,"998757-71-7","2,6-Di-tert-butyl-4-[3-hydroxy-3,3-bis(4-chlorophenyl)propynyl]-2,5-cyclohexadie","83"
32.892,424548,"087797-62-4","5-methoxy-2,4-diphenylquinoline $$Quinoline, 5-methoxy-2,4-diphenyl- (CAS)","72"
33.315,10424259,"055520-89-3","Hexadecanoic acid, trimethylsilylester","99"
33.588,22628399,"002582-79-8","Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-","90"
34.718,223696,"998529-90-2","2-Chloro-3,5-bis(4-methoxyphenyl)pyridine","78"
35.175,223096,"032214-94-1","isocularine","83"
36.467,5837702,"096851-47-7","trans-9-Octadecenoic acid, trimethylsilyl ester","99"
36.592,2926630,"021556-26-3","Oleic acid, trimethylsilyl ester","95"
36.952,9719320,"018748-91-9","Octadecanoic acid, trimethylsilylester","99"
39.552,1352507,"001330-86-5","Diisooctyl adipate","81"
43.507,114339,"062558-14-9","Bis(2-isopropenyl-4-t-butyl-6-hydroxycarbonylphenyl)sulfoxide","83"
51.072,12470459,"053084-65-4","3.beta.-(Trimethylsiloxy)cholest-4-ene","94"
